ID,Produto,Marca,Vendas,Valor Unitário,Categoria,Data da Venda,Nome do Cliente,Cidade do Cliente
3812,Ar-Condicionado,LG,5,5946.39,Climatização,2024-12-04,Ana Carolina Ribeiro,Aragão da Praia
3813,Ar-Condicionado,LG,4,478.99,Climatização,2025-03-03,João Felipe da Conceição,da Rocha
3814,Cafeteira,Samsung,4,671.83,Eletroportáteis,2023-11-16,Vitor Gabriel Pereira,Caldeira
3815,Cafeteira,Consul,2,3150.94,Eletroportáteis,2024-06-26,Sr. Pedro Moraes,da Mata
3816,Geladeira,Mondial,2,2747.3,Linha Branca,2023-09-07,Thales Carvalho,Pereira
3817,Aspirador de Pó,Electrolux,3,4095.61,Eletroportáteis,2024-11-13,Mariane Barros,Silva Alegre
3818,Aspirador de Pó,Consul,4,5387.73,Eletroportáteis,2024-10-08,Marcelo Pires,Nascimento de Melo
3819,Máquina de Lavar,Brastemp,3,3456.15,Linha Branca,2024-05-16,João Lucas Moura,Nunes das Flores
3820,Liquidificador,Midea,4,3168.88,Eletroportáteis,2025-06-24,Gustavo Henrique Pires,Pires de Barros
3821,Geladeira,Consul,5,2223.62,Linha Branca,2024-06-24,Luigi da Rocha,Alves Alegre
3822,Liquidificador,Samsung,3,4364.38,Eletroportáteis,2023-10-07,Renan Rocha,Rocha
3823,Cafeteira,Panasonic,5,4737.63,Eletroportáteis,2023-07-27,Danilo da Costa,Vieira
3824,Ar-Condicionado,Brastemp,5,5546.28,Climatização,2023-10-06,Henrique Nogueira,Fernandes do Campo
3825,Fogão,Consul,4,5597.04,Linha Branca,2023-11-23,Lucca Nascimento,Cunha
3826,Cafeteira,Panasonic,1,1106.8,Eletroportáteis,2024-06-06,Ana Beatriz Ribeiro,Santos da Mata
3827,Ar-Condicionado,Consul,1,1161.47,Climatização,2024-08-10,Caroline Gomes,Santos do Oeste
3828,Cafeteira,Midea,4,4577.37,Eletroportáteis,2025-01-02,Bruno Silveira,Mendes do Campo
3829,Geladeira,Britânia,4,5001.49,Linha Branca,2024-06-28,Luiza Ramos,Barros de Minas
3830,Micro-ondas,Philco,1,4991.38,Eletroportáteis,2023-07-24,Ian Vieira,da Cunha
3831,Cafeteira,Consul,5,1719.61,Eletroportáteis,2024-04-06,Kamilly Moreira,Costela da Praia
3832,Televisão,Philco,2,263.41,Eletrônicos,2023-07-15,Davi Luiz da Mata,Silveira Verde
3833,Fogão,Consul,1,4621.96,Linha Branca,2024-05-26,Julia Dias,Ramos
3834,Liquidificador,Mondial,3,4895.3,Eletroportáteis,2024-07-29,Beatriz Nascimento,Aragão
3835,Aspirador de Pó,Samsung,2,799.31,Eletroportáteis,2025-04-22,Dr. Gustavo Henrique Cavalcanti,Teixeira
3836,Geladeira,Samsung,3,1768.52,Linha Branca,2024-02-08,Mirella Moura,Gonçalves Alegre
3837,Aspirador de Pó,Electrolux,2,3376.86,Eletroportáteis,2023-12-17,Valentina da Paz,Pereira das Flores
3838,Televisão,Britânia,1,1541.27,Eletrônicos,2025-04-22,Murilo Nogueira,Lopes
3839,Liquidificador,Panasonic,5,2413.81,Eletroportáteis,2024-12-09,Isaac Gonçalves,da Mota Paulista
3840,Liquidificador,LG,1,2435.61,Eletroportáteis,2025-06-26,Maria Oliveira,Melo
3841,Cafeteira,Panasonic,5,4445.47,Eletroportáteis,2024-06-20,Rafaela Cunha,Pires Paulista
3842,Máquina de Lavar,Electrolux,3,937.21,Linha Branca,2024-12-02,Sr. Gustavo Viana,da Rosa do Galho
3843,Televisão,Philco,1,2206.55,Eletrônicos,2024-04-28,Raquel Correia,Costa
3844,Liquidificador,Samsung,3,3896.15,Eletroportáteis,2024-09-20,Isaac da Mata,Ramos de Farias
3845,Aspirador de Pó,Brastemp,1,715.87,Eletroportáteis,2024-06-24,Marcos Vinicius Moura,Dias de Lopes
3846,Aspirador de Pó,Electrolux,1,5824.24,Eletroportáteis,2025-01-04,Camila Martins,Monteiro de da Paz
3847,Geladeira,Consul,5,912.41,Linha Branca,2024-08-15,Erick Nascimento,Peixoto
3848,Liquidificador,Samsung,3,3640.69,Eletroportáteis,2025-02-16,Sr. João Guilherme Campos,Nascimento Alegre
3849,Máquina de Lavar,Consul,2,5188.07,Linha Branca,2023-12-06,Ana Carolina Moreira,Dias da Mata
3850,Secadora,Electrolux,2,1283.14,Linha Branca,2024-07-01,Luna Correia,Alves
3851,Fogão,Philco,5,2956.57,Linha Branca,2025-06-14,Mariane Rezende,Ramos de Duarte
3852,Televisão,Brastemp,4,4776.29,Eletrônicos,2024-10-06,Sr. Benício Pinto,Santos
3853,Geladeira,LG,3,5087.17,Linha Branca,2024-05-26,Emanuella Teixeira,Azevedo
3854,Geladeira,Philco,2,2081.95,Linha Branca,2023-07-21,Raquel Farias,Alves de Minas
3855,Televisão,Midea,5,5013.8,Eletrônicos,2023-10-29,Esther Carvalho,Rezende dos Dourados
3856,Secadora,Britânia,1,2752.11,Linha Branca,2024-04-10,Rafael Pires,Sales da Serra
3857,Aspirador de Pó,Mondial,1,3361.8,Eletroportáteis,2024-05-31,Lucca Caldeira,Fogaça
3858,Micro-ondas,Britânia,5,1050.36,Eletroportáteis,2025-02-05,Joaquim Dias,Gomes da Serra
3859,Máquina de Lavar,Britânia,2,5537.46,Linha Branca,2024-12-09,Lorenzo Castro,Rodrigues
3860,Aspirador de Pó,Samsung,5,1897.88,Eletroportáteis,2024-07-03,Bárbara da Mata,Cardoso
3861,Secadora,Brastemp,3,3348.08,Linha Branca,2025-02-13,Maria Cecília da Cunha,Moraes
3862,Micro-ondas,Samsung,5,747.83,Eletroportáteis,2024-08-19,Sr. Raul Ramos,Moura
3863,Liquidificador,Brastemp,5,441.69,Eletroportáteis,2024-12-03,Rafaela Peixoto,da Paz Paulista
3864,Televisão,Panasonic,4,1215.17,Eletrônicos,2025-04-11,Laura Nascimento,Cardoso da Mata
3865,Secadora,Consul,4,4788.4,Linha Branca,2024-10-29,Davi Lucas Fogaça,Barros
3866,Cafeteira,Brastemp,2,3132.41,Eletroportáteis,2023-10-16,Isabelly Rodrigues,Castro da Prata
3867,Secadora,Britânia,5,3449.43,Linha Branca,2025-04-18,Benício Ferreira,Caldeira
3868,Cafeteira,Britânia,3,4448.13,Eletroportáteis,2024-11-17,Luigi Viana,Santos
3869,Geladeira,Samsung,2,2645.4,Linha Branca,2024-06-17,Gustavo Henrique Nunes,Castro
3870,Televisão,Midea,3,4497.46,Eletrônicos,2024-12-03,Enrico Melo,Rodrigues Paulista
3871,Liquidificador,Consul,4,3022.52,Eletroportáteis,2025-04-03,Thomas Moraes,Costa
3872,Ar-Condicionado,Electrolux,2,1234.62,Climatização,2025-02-11,Nicolas Santos,Costa da Serra
3873,Liquidificador,Electrolux,1,2794.26,Eletroportáteis,2023-12-04,Gustavo Henrique das Neves,Porto de Goiás
3874,Liquidificador,Samsung,5,4746.72,Eletroportáteis,2023-07-20,Rafaela Rocha,Freitas
3875,Micro-ondas,Panasonic,1,5279.6,Eletroportáteis,2024-12-04,Luiz Miguel Cardoso,Azevedo
3876,Liquidificador,Mondial,1,3923.16,Eletroportáteis,2024-11-16,Heloísa Barros,da Mata de Monteiro
3877,Cafeteira,Midea,2,1995.74,Eletroportáteis,2025-01-14,Bruno Peixoto,Nogueira
3878,Aspirador de Pó,Mondial,1,953.6,Eletroportáteis,2025-06-06,Carolina Nascimento,Barros Grande
3879,Fogão,Electrolux,4,5072.57,Linha Branca,2025-05-29,Julia Vieira,Pinto do Oeste
3880,Máquina de Lavar,Midea,2,1686.92,Linha Branca,2024-11-26,Davi Lucas da Luz,Silveira do Sul
3881,Cafeteira,Consul,5,2431.96,Eletroportáteis,2023-11-04,Murilo Cavalcanti,Aragão Alegre
3882,Fogão,Mondial,2,1571.06,Linha Branca,2024-04-13,Erick Rezende,Farias das Pedras
3883,Máquina de Lavar,Britânia,1,5615.17,Linha Branca,2023-12-03,Francisco Cardoso,Souza Paulista
3884,Secadora,Midea,4,1229.61,Linha Branca,2023-10-26,Isabelly Barros,Moura do Norte
3885,Liquidificador,Brastemp,1,1069.46,Eletroportáteis,2024-05-30,Alexia Souza,Silva do Campo
3886,Ar-Condicionado,Panasonic,5,3315.9,Climatização,2025-01-31,João Pedro Ferreira,Nunes do Amparo
3887,Cafeteira,Electrolux,5,2391.2,Eletroportáteis,2023-08-23,Vicente Freitas,Vieira Alegre
3888,Liquidificador,Electrolux,5,2479.38,Eletroportáteis,2024-07-11,Mariana Mendes,Farias de Araújo
3889,Máquina de Lavar,Panasonic,5,2611.35,Linha Branca,2024-12-16,Alana Barbosa,Gonçalves do Campo
3890,Ar-Condicionado,Mondial,3,1320.59,Climatização,2024-05-30,Srta. Agatha Nogueira,Farias das Flores
3891,Secadora,Samsung,3,797.93,Linha Branca,2024-01-27,Sr. Davi Lucca Peixoto,Nunes das Flores
3892,Cafeteira,Mondial,4,2125.84,Eletroportáteis,2024-07-09,Elisa Ramos,Santos
3893,Micro-ondas,Mondial,1,2831.78,Eletroportáteis,2024-09-03,Dr. Henrique Alves,Silva Paulista
3894,Liquidificador,Samsung,5,3935.02,Eletroportáteis,2024-12-09,Benjamin Duarte,Ferreira das Flores
3895,Televisão,Philco,5,1087.08,Eletrônicos,2023-11-28,Amanda Barbosa,Araújo de Moreira
3896,Geladeira,Philco,2,2257.62,Linha Branca,2024-03-28,Luana Pires,Melo de Aragão
3897,Secadora,Mondial,1,931.4,Linha Branca,2023-11-12,Bianca Pereira,Dias do Norte
3898,Máquina de Lavar,Samsung,1,3217.13,Linha Branca,2025-06-30,Sr. João Felipe Barros,Rodrigues
3899,Liquidificador,LG,4,5483.78,Eletroportáteis,2024-02-22,Letícia Cavalcanti,Cunha de Mendes
3900,Secadora,Mondial,3,3417.62,Linha Branca,2024-05-22,Esther Cardoso,Nogueira
3901,Aspirador de Pó,Brastemp,2,804.81,Eletroportáteis,2023-08-21,Olivia Fogaça,Farias de Minas
3902,Cafeteira,Consul,3,546.24,Eletroportáteis,2024-11-26,Luana da Luz,da Rosa de Cardoso
3903,Cafeteira,Philco,5,3892.95,Eletroportáteis,2024-07-18,Lorenzo Rezende,Oliveira da Praia
3904,Geladeira,Britânia,1,5656.98,Linha Branca,2025-03-25,Clarice Correia,Barbosa de Lima
3905,Cafeteira,Electrolux,2,3029.95,Eletroportáteis,2024-11-24,Dra. Juliana Silva,Moura das Flores
3906,Televisão,Panasonic,1,4991.99,Eletrônicos,2024-10-15,Dr. Leonardo Ribeiro,Azevedo Alegre
3907,Liquidificador,Panasonic,1,921.62,Eletroportáteis,2025-02-12,Gabrielly da Rosa,Peixoto do Sul
3908,Secadora,Electrolux,1,1289.37,Linha Branca,2024-05-15,Stella Almeida,Viana
3909,Ar-Condicionado,Mondial,1,1962.71,Climatização,2024-02-06,Sra. Ana Carolina Mendes,Souza de Ribeiro
3910,Micro-ondas,Mondial,4,5690.15,Eletroportáteis,2024-10-09,Pedro Peixoto,Costa
3911,Televisão,Brastemp,1,5045.29,Eletrônicos,2025-01-29,Lucas Gabriel Moreira,Silva do Amparo
3912,Geladeira,Midea,2,3448.96,Linha Branca,2023-08-07,Nathan Farias,da Paz
3913,Aspirador de Pó,Britânia,4,4106.94,Eletroportáteis,2024-10-20,Antônio Vieira,Sales de Caldeira
3914,Ar-Condicionado,Philco,3,873.45,Climatização,2024-07-03,Mariane da Mata,Ramos de da Rocha
3915,Aspirador de Pó,Samsung,2,2165.32,Eletroportáteis,2025-05-25,Luiz Gustavo Viana,Moraes
3916,Micro-ondas,Philco,2,4826.42,Eletroportáteis,2025-03-31,Juan da Mota,Fogaça da Mata
3917,Geladeira,Consul,1,2457.83,Linha Branca,2025-01-26,Dra. Marcela Campos,da Cunha
3918,Máquina de Lavar,Mondial,4,3068.97,Linha Branca,2023-12-03,Esther Caldeira,Costa do Oeste
3919,Liquidificador,Philco,2,3830.09,Eletroportáteis,2025-03-23,Lucas Rodrigues,Pereira Grande
3920,Aspirador de Pó,Brastemp,2,4205.06,Eletroportáteis,2025-01-09,Samuel Oliveira,Novaes
3921,Cafeteira,Philco,1,3184.87,Eletroportáteis,2025-05-01,Ian Lopes,Araújo de Novaes
3922,Secadora,LG,4,2039.08,Linha Branca,2024-08-15,Srta. Rebeca Pires,Teixeira
3923,Máquina de Lavar,Panasonic,3,5628.22,Linha Branca,2024-03-14,Leandro Nascimento,Rezende da Praia
3924,Micro-ondas,Panasonic,4,4638.86,Eletroportáteis,2024-08-23,Emanuelly Lopes,da Mata de Farias
3925,Televisão,Midea,1,5585.16,Eletrônicos,2025-02-02,Sr. João Gomes,Aragão do Norte
3926,Televisão,Samsung,5,4159.92,Eletrônicos,2025-02-19,Thomas Fernandes,Melo
3927,Geladeira,Mondial,5,4398.44,Linha Branca,2024-02-08,Dra. Ana Julia da Rocha,Martins dos Dourados
3928,Televisão,Electrolux,2,1754.87,Eletrônicos,2024-12-14,Isabella Cardoso,Cardoso
3929,Televisão,Philco,3,2734.1,Eletrônicos,2025-02-17,Ian da Luz,Vieira de Costela
3930,Fogão,Consul,2,465.76,Linha Branca,2025-06-15,Ana Lopes,Freitas das Pedras
3931,Máquina de Lavar,Panasonic,4,2790.32,Linha Branca,2024-12-22,Caroline Aragão,da Paz
3932,Fogão,Britânia,4,1197.33,Linha Branca,2025-04-06,Fernanda Nunes,Dias
3933,Televisão,Philco,1,945.58,Eletrônicos,2025-05-13,Sophia Castro,Moreira
3934,Fogão,LG,3,2896.3,Linha Branca,2025-03-08,Isaac Monteiro,Monteiro de Nogueira
3935,Aspirador de Pó,Midea,4,1002.3,Eletroportáteis,2024-10-08,Ian Silva,Silveira
3936,Televisão,Mondial,3,2751.66,Eletrônicos,2024-06-08,Bárbara Martins,Silva do Campo
3937,Televisão,Brastemp,3,1307.73,Eletrônicos,2025-03-03,Raul Dias,Peixoto da Mata
3938,Aspirador de Pó,Philco,2,654.47,Eletroportáteis,2025-01-04,Ana da Rocha,Aragão
3939,Televisão,LG,1,2538.54,Eletrônicos,2023-07-14,Maria Julia Pinto,Fogaça de Duarte
3940,Televisão,Panasonic,4,3584.39,Eletrônicos,2023-09-19,Pedro Lucas Nascimento,Oliveira da Prata
3941,Ar-Condicionado,Midea,1,1981.18,Climatização,2025-03-10,Sr. Marcelo Ribeiro,Nascimento
3942,Ar-Condicionado,Britânia,4,3740.34,Climatização,2023-12-12,Benício Porto,Pereira
3943,Secadora,Britânia,3,3771.93,Linha Branca,2025-03-03,Isadora Campos,da Conceição do Amparo
3944,Fogão,Consul,3,3481.47,Linha Branca,2024-03-10,Joaquim Gomes,da Mota do Sul
3945,Secadora,Samsung,2,2650.35,Linha Branca,2023-10-02,Luana Nunes,Moraes
3946,Fogão,Panasonic,5,1202.04,Linha Branca,2024-10-23,Olivia Gonçalves,Rezende
3947,Secadora,Brastemp,1,5778.04,Linha Branca,2025-05-12,Pedro Lucas Jesus,Ramos
3948,Cafeteira,Electrolux,3,4986.99,Eletroportáteis,2023-08-13,Thales Almeida,Ramos de Moraes
3949,Televisão,Mondial,1,342.6,Eletrônicos,2023-09-26,Maria Luiza Aragão,das Neves
3950,Cafeteira,Samsung,1,1460.53,Eletroportáteis,2024-07-08,Cecília da Cruz,Gomes do Sul
3951,Televisão,Britânia,4,1735.07,Eletrônicos,2024-01-20,Emanuella Barros,Cardoso
3952,Ar-Condicionado,LG,1,1513.93,Climatização,2024-03-16,Maria Fernanda Castro,da Rosa de Teixeira
3953,Fogão,Midea,3,5471.48,Linha Branca,2025-04-22,Gabrielly Nascimento,Barbosa do Amparo
3954,Aspirador de Pó,Consul,5,3053.23,Eletroportáteis,2024-05-15,Noah Cavalcanti,Gonçalves de Fernandes
3955,Ar-Condicionado,Mondial,4,5422.69,Climatização,2024-05-23,Helena da Cruz,Novaes do Amparo
3956,Secadora,Consul,3,5094.39,Linha Branca,2024-10-15,Igor Cavalcanti,Lima
3957,Aspirador de Pó,Midea,1,441.15,Eletroportáteis,2023-09-24,Emanuel Pires,Fogaça do Galho
3958,Cafeteira,Samsung,4,2584.3,Eletroportáteis,2025-06-17,Gabrielly Barros,Correia
3959,Geladeira,Electrolux,5,1037.76,Linha Branca,2025-04-04,Sr. Davi Luiz Farias,Cardoso Alegre
3960,Secadora,Mondial,1,5996.06,Linha Branca,2024-05-22,Juan Moreira,Dias
3961,Geladeira,Panasonic,2,889.22,Linha Branca,2024-09-21,Daniela Santos,Monteiro
3962,Cafeteira,Brastemp,2,785.04,Eletroportáteis,2024-08-24,Laís Fogaça,Aragão de Silva
3963,Secadora,Philco,5,5494.85,Linha Branca,2023-07-12,Dr. Benício Souza,Gomes de da Cunha
3964,Ar-Condicionado,Brastemp,5,3727.7,Climatização,2023-11-30,Cauê da Rosa,Souza do Sul
3965,Secadora,Consul,4,1839.9,Linha Branca,2023-12-09,Lavínia Rocha,da Cunha do Norte
3966,Micro-ondas,Mondial,2,2951.29,Eletroportáteis,2023-09-11,Ana Luiza Gonçalves,Pires
3967,Geladeira,Britânia,3,4624.47,Linha Branca,2025-07-04,Srta. Gabriela Sales,Jesus
3968,Fogão,Brastemp,2,5708.98,Linha Branca,2024-03-22,Elisa Pereira,Jesus
3969,Geladeira,Consul,3,4229.39,Linha Branca,2023-11-03,Srta. Mariane Duarte,Castro
3970,Geladeira,Mondial,1,2307.11,Linha Branca,2024-02-27,Sr. Murilo Moreira,Pinto
3971,Secadora,Brastemp,2,3132.33,Linha Branca,2025-01-19,Matheus Pires,Rocha de Carvalho
3972,Geladeira,Samsung,4,2643.22,Linha Branca,2024-09-22,Dr. Kaique Pires,Oliveira
3973,Geladeira,Consul,1,1420.09,Linha Branca,2024-10-01,Maitê da Rocha,Oliveira de Minas
3974,Ar-Condicionado,Mondial,5,5298.22,Climatização,2024-03-05,Caroline Mendes,Farias das Pedras
3975,Micro-ondas,Consul,2,2990.01,Eletroportáteis,2025-04-07,Isis da Costa,Nunes
3976,Secadora,Consul,2,5091.94,Linha Branca,2024-03-16,Bianca Ribeiro,Moreira
3977,Televisão,Consul,5,628.71,Eletrônicos,2024-04-20,Enrico da Mota,Pires do Campo
3978,Geladeira,Consul,2,850.14,Linha Branca,2025-06-16,Ana Clara Moreira,Rezende
3979,Máquina de Lavar,Consul,4,5884.45,Linha Branca,2025-05-13,Srta. Sofia Silveira,Melo
3980,Ar-Condicionado,Brastemp,5,4832.93,Climatização,2024-10-13,Cauê Nogueira,Araújo
3981,Cafeteira,Mondial,1,5147.98,Eletroportáteis,2023-09-16,João Gabriel Moreira,Martins de Minas
3982,Secadora,Philco,1,5736.26,Linha Branca,2024-04-08,Eduarda Pinto,Jesus
3983,Fogão,Midea,4,1689.58,Linha Branca,2023-12-05,Lorenzo Ribeiro,Ramos
3984,Aspirador de Pó,LG,5,2944.48,Eletroportáteis,2024-01-25,Marina Nunes,Aragão
3985,Ar-Condicionado,Midea,4,2981.41,Climatização,2024-09-06,Vitor Hugo Fogaça,Fernandes do Sul
3986,Fogão,Philco,2,2634.5,Linha Branca,2024-10-20,Gustavo Henrique Sales,Ribeiro
3987,Fogão,Samsung,3,5683.84,Linha Branca,2024-11-28,Enrico Silva,Silveira da Serra
3988,Máquina de Lavar,Brastemp,4,3346.4,Linha Branca,2025-02-20,Rafael Caldeira,Cavalcanti da Serra
3989,Aspirador de Pó,Britânia,4,2016.88,Eletroportáteis,2023-12-14,Luana da Mota,Costa
3990,Geladeira,Samsung,5,688.88,Linha Branca,2024-12-20,Amanda Gonçalves,da Mata Alegre
3991,Geladeira,Consul,3,3116.09,Linha Branca,2023-09-25,Eduardo da Luz,Silveira de Barbosa
3992,Micro-ondas,Midea,5,4688.65,Eletroportáteis,2023-10-30,Olivia Lopes,Rezende de Minas
3993,Televisão,Consul,4,968.78,Eletrônicos,2023-07-12,Renan Gonçalves,da Costa da Praia
3994,Aspirador de Pó,Midea,1,2048.39,Eletroportáteis,2024-11-12,Manuela Martins,Sales
3995,Fogão,Philco,3,275.22,Linha Branca,2024-09-11,Noah das Neves,Almeida de Goiás
3996,Fogão,Samsung,2,4037.77,Linha Branca,2024-08-23,Fernanda Castro,da Cunha
3997,Liquidificador,Samsung,1,5606.62,Eletroportáteis,2024-04-10,Calebe Alves,Caldeira
3998,Cafeteira,Midea,3,2453.68,Eletroportáteis,2024-03-12,Maria Julia Lopes,Monteiro
3999,Liquidificador,Consul,5,3286.82,Eletroportáteis,2025-04-17,Miguel Campos,Gomes
4000,Aspirador de Pó,Consul,4,5369.45,Eletroportáteis,2024-02-04,Matheus Pinto,Moreira
4001,Máquina de Lavar,LG,2,4985.04,Linha Branca,2024-05-21,Maitê Ferreira,Silveira de Melo
4002,Ar-Condicionado,Electrolux,4,2109.71,Climatização,2024-02-04,Vinicius Pinto,Fogaça
4003,Secadora,Electrolux,2,1882.99,Linha Branca,2023-08-11,Fernanda Costa,Barbosa
4004,Micro-ondas,Brastemp,5,4509.42,Eletroportáteis,2024-10-25,Bruno Mendes,da Luz do Oeste
4005,Fogão,Mondial,5,1742.54,Linha Branca,2024-10-01,Isabella Campos,Nascimento das Flores
4006,Secadora,Britânia,4,453.43,Linha Branca,2024-02-11,Otávio Souza,Porto de Cardoso
4007,Liquidificador,Consul,3,1526.08,Eletroportáteis,2024-02-25,João Guilherme Novaes,Viana
4008,Aspirador de Pó,Philco,2,4336.73,Eletroportáteis,2024-05-27,Maria Cecília Dias,Rezende do Norte
4009,Televisão,Philco,1,5696.59,Eletrônicos,2023-08-16,Sr. Bryan Cavalcanti,Gomes
4010,Cafeteira,LG,3,1475.47,Eletroportáteis,2023-12-19,Marina Mendes,Cardoso de Barbosa
4011,Máquina de Lavar,Mondial,3,3485.66,Linha Branca,2023-07-14,Catarina Rodrigues,Gomes das Flores
4012,Micro-ondas,Electrolux,5,4682.03,Eletroportáteis,2025-03-07,Ryan Porto,da Luz da Mata
4013,Televisão,LG,3,4704.73,Eletrônicos,2024-03-13,Sra. Isabella Rocha,Cardoso
4014,Ar-Condicionado,LG,1,5495.21,Climatização,2023-10-08,Danilo Dias,da Mata do Sul
4015,Aspirador de Pó,Midea,2,2914.09,Eletroportáteis,2024-01-06,Fernanda Fernandes,Campos de Moraes
4016,Televisão,Panasonic,1,3058.72,Eletrônicos,2023-07-23,Maria Alice Gonçalves,Correia das Pedras
4017,Secadora,Brastemp,2,4601.48,Linha Branca,2024-11-30,Clara Farias,Pereira de Goiás
4018,Fogão,Consul,1,1166.29,Linha Branca,2024-02-11,Dr. Pedro Henrique Cunha,Alves
4019,Cafeteira,Brastemp,4,2525.91,Eletroportáteis,2025-07-08,Sr. Davi Lucca da Paz,Alves
4020,Liquidificador,Consul,3,4578.29,Eletroportáteis,2024-11-17,Dr. Ian Rezende,Barbosa
4021,Secadora,Consul,1,5046.68,Linha Branca,2024-10-24,Dra. Joana Fernandes,Costela de Barbosa
4022,Televisão,Britânia,3,3367.72,Eletrônicos,2024-01-03,Fernanda Novaes,da Costa dos Dourados
4023,Cafeteira,Electrolux,2,1554.41,Eletroportáteis,2023-07-12,Theo Barros,da Mota
4024,Cafeteira,Mondial,4,535.67,Eletroportáteis,2023-11-26,Catarina Caldeira,da Cunha
4025,Cafeteira,Mondial,3,3660.11,Eletroportáteis,2024-12-03,Luigi Pinto,Araújo
4026,Ar-Condicionado,Samsung,3,386.67,Climatização,2025-07-09,Srta. Agatha Fernandes,Pinto de Nunes
4027,Ar-Condicionado,Panasonic,4,4671.54,Climatização,2024-12-29,Emanuel da Cunha,Nunes
4028,Liquidificador,Electrolux,1,1086.89,Eletroportáteis,2023-07-29,Gabriela Moraes,da Cruz de Martins
4029,Liquidificador,Midea,2,4626.86,Eletroportáteis,2024-03-25,João Gabriel Jesus,Dias
4030,Cafeteira,Brastemp,3,3870.28,Eletroportáteis,2025-03-07,Sophia Silveira,Costa das Flores
4031,Ar-Condicionado,Mondial,1,5027.3,Climatização,2023-08-26,Gustavo Henrique Lima,Lopes da Mata
4032,Máquina de Lavar,Consul,2,1440.92,Linha Branca,2025-01-16,Sra. Kamilly Azevedo,Farias
4033,Ar-Condicionado,Panasonic,1,3905.42,Climatização,2024-05-21,Emanuelly da Conceição,Nogueira
4034,Secadora,Philco,4,1004.16,Linha Branca,2023-10-05,Emanuella Lopes,Farias da Prata
4035,Fogão,Britânia,3,3473.97,Linha Branca,2024-06-07,Gabrielly Nunes,Santos
4036,Cafeteira,Philco,2,442.2,Eletroportáteis,2024-05-05,Marcela Nogueira,da Cruz
4037,Máquina de Lavar,Consul,3,1633.84,Linha Branca,2024-05-25,Sr. Diego Viana,Farias
4038,Televisão,Britânia,4,5881.71,Eletrônicos,2025-04-25,Srta. Pietra Castro,Lima
4039,Micro-ondas,Samsung,4,1647.04,Eletroportáteis,2024-10-23,Lucas Moraes,Ribeiro da Praia
4040,Fogão,Mondial,2,3874.73,Linha Branca,2024-06-12,Dra. Ana Sophia Pereira,Vieira de Mendes
4041,Aspirador de Pó,Philco,3,1703.78,Eletroportáteis,2024-08-13,Dra. Sabrina Pereira,Correia de Goiás
4042,Micro-ondas,Brastemp,4,5760.27,Eletroportáteis,2024-10-11,Theo Novaes,Aragão de Moura
4043,Geladeira,Midea,5,2746.34,Linha Branca,2023-09-30,Dra. Maria Vitória Cardoso,Araújo do Oeste
4044,Liquidificador,Consul,4,2508.0,Eletroportáteis,2025-01-28,Cauã Fernandes,da Mata
4045,Aspirador de Pó,Samsung,1,1812.66,Eletroportáteis,2023-09-06,João Guilherme Dias,Souza
4046,Micro-ondas,Brastemp,1,574.65,Eletroportáteis,2023-10-27,Mirella Pinto,da Cunha do Galho
4047,Aspirador de Pó,Brastemp,5,286.99,Eletroportáteis,2024-11-04,Guilherme Peixoto,Almeida
4048,Liquidificador,Brastemp,3,4183.03,Eletroportáteis,2024-12-29,Srta. Marcela Gonçalves,Freitas Grande
4049,Cafeteira,Midea,4,1164.84,Eletroportáteis,2023-08-23,Gabriela Peixoto,Barros de Araújo
4050,Aspirador de Pó,Samsung,1,3115.84,Eletroportáteis,2023-08-06,Sophie da Rocha,Peixoto das Flores
4051,Fogão,Mondial,2,2098.01,Linha Branca,2023-12-14,Gabriela Cavalcanti,Costela
4052,Fogão,Mondial,4,2761.22,Linha Branca,2024-03-07,Isis Viana,Cardoso de Cardoso
4053,Cafeteira,Consul,2,1288.81,Eletroportáteis,2024-11-16,Lucas Oliveira,Campos de Costela
4054,Aspirador de Pó,Britânia,5,5262.09,Eletroportáteis,2024-03-10,Ana Julia da Paz,Gonçalves
4055,Cafeteira,Electrolux,5,3211.71,Eletroportáteis,2023-11-05,Gabriela Pereira,Ribeiro
4056,Aspirador de Pó,Midea,3,670.23,Eletroportáteis,2024-07-05,Clara Cavalcanti,da Rosa Verde
4057,Fogão,LG,4,5875.75,Linha Branca,2024-08-05,Isabel Costela,Correia
4058,Secadora,LG,3,5835.16,Linha Branca,2024-04-27,Davi Duarte,Araújo de Barbosa
4059,Secadora,LG,1,1732.77,Linha Branca,2025-05-20,Dr. Breno Souza,da Paz
4060,Máquina de Lavar,Philco,2,5416.32,Linha Branca,2024-10-09,Davi Lucca da Rocha,Freitas
4061,Secadora,Mondial,5,5351.48,Linha Branca,2025-01-02,Otávio Rezende,Alves dos Dourados
4062,Cafeteira,Samsung,3,1863.26,Eletroportáteis,2023-10-09,Sabrina Caldeira,Caldeira da Mata
4063,Liquidificador,Philco,2,815.35,Eletroportáteis,2024-10-10,Sarah Caldeira,da Mota
4064,Micro-ondas,LG,1,4204.43,Eletroportáteis,2023-12-20,André da Rosa,Caldeira
4065,Liquidificador,Brastemp,4,3271.01,Eletroportáteis,2025-03-11,Raquel Mendes,Fernandes do Amparo
4066,Fogão,LG,2,2191.28,Linha Branca,2024-07-19,Ana Vitória Costela,Costela
